Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.16032,0.9146454505137985
RobustRegression,199465.55955429323,61664910393.24946,0.501088199072818
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559587,0.8779812271613102
PolynomialRegression,83413.36411683503,10664698583.387154,0.9137152078442698
SGDRegressor,1.3281717631029594e+18,1.7995679632789172e+36,-1.4559750232745522e+25
ANN,199173.7779170075,61474002048.51124,0.5026327797018657
RandomForest,98709.50377089906,15120580047.660566,0.8776640430589553
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
